code,name,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
E09000007,Camden,19,9,27,19,30,20,15,20,23,18,12,18,14,20,24,33,25,27,38,30,25,25
E09000001,City of London,1,0,1,2,1,1,0,1,2,1,1,3,1,0,1,0,2,0,1,1,0,1
E09000012,Hackney,23,17,26,13,18,22,18,24,10,25,16,13,24,27,31,18,24,17,20,17,18,28
E09000013,Hammersmith and Fulham,7,34,20,16,20,14,17,19,9,14,19,14,18,11,21,19,14,24,19,12,17,22
E09000014,Haringey,13,13,15,22,18,25,12,27,31,15,28,21,22,23,23,21,18,21,18,25,21,27
E09000019,Islington,21,14,13,14,18,22,13,18,16,27,12,13,28,19,24,17,26,27,36,26,30,25
E09000020,Kensington and Chelsea,10,17,15,11,13,14,14,12,12,13,12,9,10,13,11,11,13,19,20,17,17,18
E09000022,Lambeth,21,9,10,26,15,22,21,33,19,16,22,24,10,26,21,17,29,22,25,29,23,27
E09000023,Lewisham,16,17,18,27,24,17,25,20,15,22,23,24,15,18,22,13,10,24,22,19,24,17
E09000025,Newham,14,20,23,11,21,24,19,25,23,16,21,15,15,27,19,15,22,16,21,23,12,22
E09000028,Southwark,17,13,23,34,17,19,14,32,31,15,23,18,21,22,20,24,22,24,24,33,26,20
E09000030,Tower Hamlets,19,25,16,17,30,20,20,20,23,24,21,14,20,12,18,33,24,10,19,18,27,22
E09000032,Wandsworth,19,21,18,21,22,23,23,24,21,19,19,31,15,21,16,16,24,26,20,30,31,24
E09000033,Westminster,14,15,21,15,11,15,14,20,17,14,23,28,19,16,21,24,16,34,22,26,27,30
E09000002,Barking and Dagenham,11,17,14,13,8,11,10,11,13,8,13,10,6,14,16,14,6,6,8,8,12,12
E09000003,Barnet,15,10,18,22,18,26,23,36,32,16,20,22,29,18,17,28,22,24,21,25,23,23
E09000004,Bexley,12,12,13,22,18,17,17,17,14,25,18,16,15,10,12,15,22,12,20,18,14,15
E09000005,Brent,15,16,14,17,28,16,20,28,25,21,18,20,20,23,21,19,17,14,18,22,20,23
E09000006,Bromley,25,13,7,23,22,19,15,21,28,19,25,22,22,15,26,19,22,17,24,25,22,24
E09000008,Croydon,20,20,16,26,42,25,26,19,36,22,25,21,19,15,10,24,39,25,20,26,20,18
E09000009,Ealing,34,25,25,33,33,12,31,42,12,14,22,40,32,26,21,22,22,38,26,23,33,17
E09000010,Enfield,11,12,18,14,17,19,17,21,13,22,15,14,18,17,21,6,10,20,21,24,25,29
E09000011,Greenwich,19,14,12,21,25,13,13,29,14,7,14,19,14,24,17,19,27,26,18,16,14,18
E09000015,Harrow,10,12,12,10,11,12,20,21,13,11,9,15,9,14,15,17,12,15,17,15,20,18
E09000016,Havering,23,23,20,14,19,14,18,15,19,13,14,21,19,15,16,13,14,10,7,14,14,11
E09000017,Hillingdon,17,24,19,27,36,11,27,45,8,20,22,20,20,22,23,13,21,17,16,32,23,24
E09000018,Hounslow,14,17,19,27,30,14,25,29,6,8,23,13,20,27,22,21,19,18,22,10,22,16
E09000021,Kingston upon Thames,8,11,7,18,17,12,16,12,4,7,10,12,8,9,12,6,7,16,18,8,14,7
E09000024,Merton,13,10,18,9,11,18,20,13,11,13,18,14,14,11,16,11,9,19,13,18,12,14
E09000026,Redbridge,27,21,17,19,15,18,17,28,15,15,14,18,21,18,16,11,12,14,18,23,14,12
E09000027,Richmond upon Thames,21,8,15,14,21,11,12,16,6,9,9,15,20,9,11,4,15,7,13,14,6,12
E09000029,Sutton,8,14,18,24,15,15,10,14,11,11,17,13,12,16,15,12,10,20,4,16,6,8
E09000031,Waltham Forest,19,17,15,15,17,27,18,23,20,16,19,15,24,12,12,14,13,11,18,15,17,20
